Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-07-09,931980.0,931991.0,925290.0,925290.0,14.86772,13822075.4598,929670.148472
2017-07-08,933290.0,942000.0,926501.0,930001.0,16.891962,15763628.1212,933202.911611
2017-07-07,944680.0,948999.0,923050.0,933290.0,26.918381,25196520.7505,936034.03379
2017-07-06,935499.0,949500.0,933001.0,944649.0,41.822378,39269474.4067,938958.430501
2017-07-05,922512.0,936000.0,919011.0,932999.0,37.58709,34968872.2686,930342.632767
2017-07-04,920077.0,949950.0,899999.0,922511.0,49.832129,46287756.2405,928873.744095
2017-07-03,917706.0,941995.0,895001.0,933481.0,40.285621,36818005.9252,913924.24918
2017-07-02,920001.0,927370.0,910000.0,922790.0,20.343037,18662064.4677,917368.653839
2017-07-01,934000.0,944730.0,920000.0,920001.0,23.179032,21616269.0201,932578.591725
2017-06-30,947899.0,953600.0,930000.0,934001.0,31.585504,29733585.3462,941368.082846
2017-06-29,967999.0,967999.0,938025.0,945911.0,34.640541,32978944.3073,952033.177174
2017-06-28,939103.0,978888.0,925000.0,967999.0,43.935306,41420275.5096,942756.049306
2017-06-27,970009.0,981539.0,901110.0,939103.0,49.904421,47186323.1178,945533.926099
2017-06-26,1013301.0,1021000.0,960000.0,981544.0,41.978689,41664949.3794,992526.2168
2017-06-25,1018006.0,1028000.0,1010300.0,1021000.0,19.7218,20109198.1767,1019643.14498
2017-06-24,1034898.0,1036043.0,1018003.0,1018006.0,24.209779,24920723.6065,1029366.00976
2017-06-23,1023404.0,1034950.0,1018002.0,1034897.0,31.696995,32591008.2434,1028204.98421
2017-06-22,1023999.0,1030201.0,1000000.0,1021500.0,36.168965,36932210.0932,1021102.20995
2017-06-21,1023300.0,1036000.0,1011000.0,1017000.0,52.160631,53418635.532,1024117.89328
2017-06-20,987003.0,1028990.0,986988.0,1023300.0,52.983703,53171365.9157,1003541.89883
2017-06-19,975013.0,999884.0,975012.0,987001.0,28.829398,28534529.1365,989771.93823
2017-06-18,1010799.0,1024999.0,959999.0,975012.0,31.452842,31258719.1647,993828.130529
2017-06-17,970000.0,1010800.0,965010.0,1010799.0,22.317861,22073519.3335,989051.743514
2017-06-16,949985.0,985000.0,926055.0,975000.0,35.812961,34199515.2284,954947.992945
2017-06-15,1001000.0,1002000.0,870005.0,929999.0,68.932614,65120401.8372,944696.538524
2017-06-14,1020000.0,1055000.0,988000.0,995000.0,54.000799,55069020.1709,1019781.58084
2017-06-13,1032004.0,1056490.0,998999.0,1020000.0,34.732445,35616746.7359,1025460.39405
2017-06-12,1087020.0,1098990.0,999981.0,1032004.0,55.416031,58559631.4014,1056727.27449
2017-06-11,1045351.0,1099860.0,1044999.0,1087002.0,36.562938,39149613.7621,1070745.84001
2017-06-10,1015900.0,1050000.0,1015031.0,1045351.0,22.117906,22935784.2392,1036978.10449
2017-06-09,1017490.0,1029999.0,1003000.0,1015031.0,23.192553,23577044.1845,1016578.21735
2017-06-08,1009700.0,1032979.0,994001.0,1011697.0,31.276001,31593275.2253,1010144.3348
2017-06-07,1053700.0,1060000.0,970000.0,1009700.0,46.745442,48360333.6687,1034546.50549
2017-06-06,989990.0,1079998.0,989989.0,1053700.0,65.608305,68520579.6971,1044388.81171
2017-06-05,940000.0,989990.0,935000.0,989989.0,48.888246,46880798.0659,958938.02502
2017-06-04,958999.0,959001.0,937500.0,940000.0,21.622999,20557164.4936,950708.294144
2017-06-03,938200.0,980000.0,936303.0,959003.0,37.764666,36141838.9784,957027.899528
2017-06-02,910750.0,938200.0,910712.0,938200.0,37.586414,34900185.1199,928531.919004
