Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-06-25,2655.0,2769.0,2600.0,2684.0,25.8141,68792.03785,2664.90165646
2017-06-24,2769.0,2804.98,2655.0,2666.0,62.4554,170431.805034,2728.85619232
2017-06-23,2723.0,2836.0,2723.0,2735.0,33.0182,91734.625526,2778.30485993
2017-06-22,2725.0,2785.0,2690.0,2740.0,68.7458,186892.708475,2718.60547808
2017-06-21,2799.0,2999.0,2346.97,2700.0,156.4253,432998.023982,2768.08178717
2017-06-20,2680.0,2844.98,2626.01,2800.0,103.4345,279059.541997,2697.93484763
2017-06-19,2650.0,2709.0,2620.11,2709.0,31.9206,85225.688525,2669.92752408
2017-06-18,2725.0,2739.0,2610.02,2695.0,29.7169,79509.095498,2675.55147064
2017-06-17,2569.0,2747.99,2503.0,2739.0,52.6408,139263.329532,2645.53976254
2017-06-16,2440.0,2680.0,2440.0,2640.0,40.5479,106167.982422,2618.33491801
2017-06-15,2600.0,2700.0,2300.0,2540.0,134.7672,331399.450208,2459.05123953
2017-06-14,2805.0,2940.0,2600.0,2700.0,152.437,425200.194655,2789.35031951
2017-06-13,2820.0,2874.0,2636.05,2835.0,31.3057,88472.798048,2826.0923106
2017-06-12,3067.0,3070.0,2528.0,2750.0,87.8775,252609.591238,2874.56506202
2017-06-11,2985.0,3083.98,2901.0,3067.0,76.0664,227277.716092,2987.88579573
2017-06-10,2850.01,2995.0,2850.01,2995.0,88.5828,256954.3384,2900.72495338
2017-06-09,2870.0,2939.97,2816.0,2851.01,77.8899,223396.627891,2868.10777637
2017-06-08,2700.0,2870.0,2700.0,2870.0,66.952,187397.03101,2798.97584852
2017-06-07,2889.0,2892.0,2735.0,2892.0,90.7998,257484.877567,2835.74278321
2017-06-06,2775.0,2899.9,2653.0,2889.99,190.7428,534765.86279,2803.59658551
2017-06-05,2612.0,2776.99,2581.0,2776.99,55.7846,147665.781999,2647.07073276
2017-06-04,2600.0,2628.0,2551.51,2607.0,33.0627,85668.095986,2591.07985694
2017-06-03,2510.0,2600.0,2487.61,2600.0,36.5138,93223.703385,2553.10878038
2017-06-02,2479.99,2566.87,2422.01,2510.0,60.0292,150007.36215,2498.90656797
2017-06-01,2400.0,2639.0,2400.0,2470.0,80.7747,201322.882315,2492.40024804
2017-05-31,2475.0,2550.0,2180.0,2548.0,120.1786,280586.846084,2334.74883285
2017-05-30,2270.01,2490.0,2270.01,2485.0,50.3753,119517.324465,2372.53821744
2017-05-29,2210.0,2388.0,2210.0,2355.0,76.0681,174375.372622,2292.35872359
2017-05-28,2250.0,2395.0,2173.01,2360.0,52.5246,121254.953397,2308.53644572
2017-05-27,2318.0,2479.99,1965.0,2250.0,101.783,221303.552436,2174.26832021
2017-05-26,2500.0,2800.0,2300.0,2479.99,111.5411,284497.336977,2550.60544478
2017-05-25,2510.0,3000.0,2360.0,2600.0,248.4004,675978.451981,2721.32593982
2017-05-24,2290.0,2555.0,2290.0,2510.0,241.4772,576146.163485,2385.92365443
2017-05-23,2138.88,2330.0,2120.0,2324.0,169.2709,381467.243292,2253.59021126
2017-05-22,2031.0,2345.0,2030.0,2138.88,306.1616,655343.829277,2140.51608457
2017-05-21,2063.0,2120.0,2005.0,2034.5,236.626,488742.47609,2065.46396461
2017-05-20,1975.0,2070.0,1972.1,2060.0,196.8793,394515.616711,2003.84508026
2017-05-19,1923.0,1995.0,1923.0,1975.0,168.5824,329256.521718,1953.08953792
2017-05-18,1831.2,1932.0,1810.2,1919.0,227.4737,422384.744437,1856.85089941
2017-05-17,1722.25,1839.0,1692.0,1829.5,268.1436,471017.343698,1756.58618627
2017-05-16,1717.0,1788.0,1652.01,1726.0,414.9393,710519.133743,1712.34475438
2017-05-15,1790.0,1790.0,1686.3,1717.0,523.6594,911605.671291,1740.83702363
2017-05-14,1765.0,1814.6,1762.2,1790.0,215.9393,385640.999321,1785.87686133
2017-05-13,1700.0,1765.0,1618.0,1765.0,322.1036,543412.933895,1687.07500908
2017-05-12,1832.0,1840.0,1655.0,1690.0,494.2203,877912.801057,1776.35924922
2017-05-11,1773.01,1899.0,1755.0,1830.0,300.9863,546965.144242,1817.24265936
2017-05-10,1721.0,1803.0,1688.0,1780.0,209.0638,364096.57408,1741.55723793
2017-05-09,1642.0,1761.99,1623.0,1720.0,341.6768,577033.937912,1688.82973006
2017-05-08,1553.0,1647.5,1553.0,1640.0,208.1778,330193.020534,1586.11062531
2017-05-07,1555.0,1575.5,1530.0,1551.0,70.0609,108800.377934,1552.94005549
2017-05-06,1552.0,1562.0,1523.5,1555.0,156.2148,240555.341113,1539.90109204
2017-05-05,1540.5,1608.0,1520.0,1542.0,205.5489,321096.761841,1562.14293456
2017-05-04,1505.0,1610.0,1479.0,1538.0,270.804,416421.286575,1537.72206679
2017-05-03,1446.0,1508.0,1432.0,1500.0,150.4648,219924.780727,1461.63608184
2017-05-02,1400.0,1480.0,1392.0,1444.0,122.2981,175141.563819,1432.08736537
2017-05-01,1350.0,1415.0,1348.0,1400.0,53.043,73052.11633,1377.22444677
2017-04-30,1327.0,1354.0,1318.0,1354.0,85.7039,114714.41325,1338.49700247
2017-04-29,1325.0,1334.0,1317.5,1324.0,45.9067,60896.21974,1326.52139535
2017-04-28,1325.0,1346.0,1300.0,1325.0,114.1207,151255.239614,1325.39705429
2017-04-27,1298.01,1339.5,1297.2,1330.0,129.3122,169206.88296,1308.5144554
2017-04-26,1267.0,1300.0,1262.0,1298.01,45.0711,57639.378989,1278.85449854
2017-04-25,1268.43,1278.99,1255.5,1267.0,26.475,33461.797997,1263.90171849
2017-04-24,1269.99,1278.99,1260.0,1278.99,12.5701,15951.38123,1268.99398016
2017-04-23,1283.4,1284.0,1252.03,1260.0,26.8828,34009.129973,1265.08882903
2017-04-22,1279.99,1283.0,1245.0,1283.0,69.9462,88506.341807,1265.34882248
2017-04-21,1244.12,1280.0,1236.0,1261.25,61.0255,76856.590732,1259.4176325
2017-04-20,1228.0,1265.0,1215.0,1242.0,97.7427,121716.101852,1245.27050974
2017-04-19,1225.0,1230.0,1210.0,1230.0,24.5787,30112.261988,1225.13647947
2017-04-18,1237.5,1263.5,1220.0,1227.0,94.5423,118130.574414,1249.49968865
2017-04-17,1211.5,1236.0,1203.5,1235.8,223.4704,271297.474961,1214.0197313
2017-04-16,1192.0,1213.0,1192.0,1213.0,74.9311,90195.81585,1203.7166924
2017-04-15,1206.0,1215.0,1191.85,1192.0,159.5226,192173.690196,1204.68002776
2017-04-14,1183.0,1218.0,1181.0,1207.0,129.501,155690.996409,1202.23779283
2017-04-13,1230.0,1233.9,1160.02,1183.0,370.4015,441422.023361,1191.73929739
2017-04-12,1239.9,1239.9,1223.0,1230.0,89.4465,109903.06865,1228.70172282
